Amount_Spent,Transaction_Type,Date
460.92,Utility Bill,2/13/2024
186.91,Home Improvement,12/24/2023
698.43,Pet Store,12/2/2023
575.02,Video Game Store,3/12/2024
226.77,Pet Store,5/2/2024
807.71,Fast Food,6/20/2024
397.3,Furniture Store,9/10/2023
289.97,Gas Station,6/27/2024
646.33,Amazon,11/25/2023
659.31,Hair Salon,2/27/2024
494.3,Lottery Ticket,12/23/2023
720.84,Furniture Store,12/18/2023
7.53,Netflix,12/5/2023
939.77,Rent,12/31/2023
729.46,Gas Station,1/6/2024
261.21,Car Rental,11/23/2023
78.24,Book Store,6/12/2024
493.15,Florist,4/15/2024
5.6,Investment,9/25/2023
860.59,Book Store,8/11/2023
887.03,Pharmacy,6/10/2024
391.04,Fast Food,7/23/2024
531.24,Gardening Service,11/21/2023
791.41,Hardware Purchase,3/27/2024
998.19,Streaming Service,12/26/2023
339.88,Broker Fee,8/17/2023
393.8,Florist,6/14/2024
391.82,Broker Fee,6/15/2024
615.64,Restaurant,4/19/2024
925.36,Accounting Service,5/29/2024
443.2,Public Transport,12/6/2023
606.18,Vet Visit,3/7/2024
879.99,Fitness Equipment,5/8/2024
5.75,Music Instrument Store,8/19/2023
876.39,Bakery,10/15/2023
569.85,Gardening Service,12/17/2023
515.58,Pharmacy,3/29/2024
523.44,Pharmacy,9/4/2023
982.78,Spotify,1/15/2024
313.16,Legal Service,12/4/2023
970.72,Florist,1/26/2024
881.58,Streaming Service,10/8/2023
944.72,Electronics Store,11/4/2023
532.93,Doctor's Visit,9/19/2023
951.44,Butcher,11/12/2023
461.01,Vet Visit,11/5/2023
982.21,Hardware Purchase,8/1/2023
243.19,Maintenance Fee,12/14/2023
989.39,Investment,9/8/2023
553.09,Maintenance Fee,7/17/2024
190.56,Software Purchase,12/4/2023
782.07,Courier Service,9/23/2023
384.02,Butcher,9/27/2023
291.39,Music Instrument Store,3/7/2024
200.38,Freelance Payment,11/30/2023
762.21,Clothing Store,10/30/2023
386.29,Clothing Store,11/15/2023
97.44,Bakery,6/18/2024
165.63,Broker Fee,10/13/2023
179.2,Hardware Purchase,10/13/2023
70.94,Software Purchase,12/25/2023
162.79,Vet Visit,11/28/2023
504.99,Broker Fee,1/16/2024
529.26,Childcare Service,3/15/2024
680.12,Hair Salon,6/18/2024
722.71,Fitness Equipment,10/25/2023
42.3,Maintenance Fee,5/12/2024
844.74,Movie Theater,12/19/2023
594.77,Broker Fee,4/13/2024
333.42,Online Course,4/30/2024
915.31,Fitness Equipment,7/3/2024
851.49,Broker Fee,11/13/2023
890.88,Consulting Fee,9/21/2023
779.46,Butcher,8/15/2023
990.29,Clothing Store,3/11/2024
609.34,Broker Fee,1/25/2024
821.74,Electronics Store,7/13/2024
252.02,Restaurant,10/20/2023
82.01,Hardware Purchase,11/26/2023
164.86,Movie Theater,11/18/2023
369.59,Airline Ticket,4/8/2024
652.71,Clothing Store,11/4/2023
267.98,Coffee Shop,8/29/2023
260.3,Doctor's Visit,5/22/2024
669.85,Electronics Store,12/8/2023
649.05,Fast Food,10/12/2023
943.52,Charity Donation,9/2/2023
914.72,Fitness Equipment,1/9/2024
368.89,Charity Donation,5/26/2024
188.72,Clothing Store,12/15/2023
792.61,Bank Fee,3/25/2024
730.99,Maintenance Fee,8/15/2023
824.47,Accounting Service,9/16/2023
599.01,Vet Visit,12/22/2023
299.31,Home Improvement,6/1/2024
544.81,Music Instrument Store,1/7/2024
942.36,Gas Station,9/19/2023
58.87,Spa,9/6/2023
117.35,Parking,7/5/2024
802.55,Video Game Store,3/16/2024
400.84,Business Service,12/12/2023
544.95,Taxi,4/18/2024
414.05,Consulting Fee,9/18/2023
10.03,Music Instrument Store,6/14/2024
25.73,Property Tax,4/2/2024
230.58,Movie Theater,8/17/2023
535.3,Public Transport,5/19/2024
973.07,Furniture Store,9/26/2023
120.23,Pharmacy,7/12/2024
467.95,Video Game Store,1/20/2024
109.34,Insurance Payment,6/27/2024
677.6,Legal Service,3/27/2024
369.6,Butcher,11/9/2023
899.75,Streaming Service,12/4/2023
984,Maintenance Fee,3/2/2024
747.89,Florist,4/25/2024
683.16,Uber,3/9/2024
30.85,Coffee Shop,1/3/2024
872.95,Coffee Shop,6/16/2024
335.09,Rent,3/6/2024
326.65,Business Service,6/2/2024
378.17,Clothing Store,4/27/2024
839.98,Bakery,5/12/2024
992.1,Bakery,11/19/2023
181.36,Amazon,6/18/2024
313.3,Consulting Fee,3/13/2024
403.79,Bakery,4/30/2024
946.83,Hardware Purchase,9/28/2023
973.36,Online Course,6/16/2024
927.53,Airline Ticket,8/1/2024
887.18,Amazon,7/15/2024
81.04,Florist,7/23/2024
27.12,Online Course,4/4/2024
421.6,Investment,6/11/2024
229.26,Mortgage,1/13/2024
485.62,Uber,12/18/2023
250.3,Clothing Store,1/2/2024
580.09,Video Game Store,3/4/2024
504.93,Restaurant,7/20/2024
716.11,Spa,7/1/2024
987.3,Uber,2/1/2024
37.93,Spotify,5/29/2024
392.47,Music Instrument Store,1/12/2024
105.69,Book Store,11/16/2023
960.78,Video Game Store,12/30/2023
462.27,Music Instrument Store,2/28/2024
759.09,Hardware Purchase,11/25/2023
162.04,Freelance Payment,8/14/2023
296.45,Movie Theater,7/1/2024
893.34,Taxi,3/20/2024
23.5,Movie Theater,3/17/2024
954.51,Streaming Service,11/19/2023
940.13,Clothing Store,7/19/2024
709.64,Subscription Box,4/18/2024
644.45,Home Improvement,8/11/2023
875.94,Property Tax,9/29/2023
668.69,Property Tax,8/30/2023
449.63,Amazon,11/27/2023
708.49,Mortgage,12/23/2023
231.75,Accounting Service,5/7/2024
541.75,Parking,9/28/2023
604.09,Maintenance Fee,7/25/2024
992.52,Hardware Purchase,12/16/2023
334.67,Subscription Box,2/28/2024
916.21,Lottery Ticket,8/20/2023
371.8,Taxi,5/18/2024
617.89,Subscription Box,4/20/2024
127.26,Public Transport,10/7/2023
242.46,Restaurant,6/18/2024
463.94,Bank Fee,9/24/2023
473.72,Coffee Shop,3/11/2024
170.51,Pet Store,6/21/2024
674.09,Software Purchase,7/13/2024
479.63,Public Transport,3/20/2024
270.41,Accounting Service,7/23/2024
891.35,Grocery Store,10/19/2023
207.77,Maintenance Fee,12/11/2023
94.29,Florist,3/22/2024
159.63,Doctor's Visit,9/24/2023
114.3,Utility Bill,4/5/2024
191.78,Parking,5/16/2024
297.08,Business Service,4/14/2024
17.49,Butcher,2/13/2024
146.84,Lottery Ticket,5/23/2024
335.52,Gardening Service,6/17/2024
950.63,Consulting Fee,7/25/2024
323.92,Deli,5/12/2024
569.97,Software Purchase,9/8/2023
903.55,Investment,11/21/2023
281.02,Spa,5/26/2024
790.67,Butcher,12/24/2023
917.42,Pet Store,4/8/2024
84.74,Charity Donation,5/25/2024
489.55,Movie Theater,10/11/2023
786.53,Fitness Equipment,7/31/2024
909.08,Home Improvement,12/19/2023
621.89,Grocery Store,3/8/2024
122.87,Fitness Equipment,3/2/2024
990.52,Gift Shop,9/5/2023
616,Grocery Store,2/6/2024
991.77,Spotify,5/27/2024
756.46,Hotel,12/1/2023
517,Furniture Store,4/26/2024
111.4,Clothing Store,5/17/2024
358.45,Hair Salon,7/21/2024
734.9,Pet Store,3/4/2024
785.41,Subscription Box,8/17/2023
84.66,Gas Station,10/1/2023
220.83,Gardening Service,12/15/2023
808.14,Hair Salon,12/17/2023
395.35,Investment,11/23/2023
200.89,Insurance Payment,12/21/2023
81.41,Spotify,4/15/2024
520.64,Vet Visit,2/29/2024
221.18,Butcher,6/13/2024
978.07,Movie Theater,10/17/2023
946.91,Streaming Service,4/21/2024
196.33,Restaurant,12/22/2023
596.52,Hotel,4/15/2024
642.21,Grocery Store,3/31/2024
108.89,Pet Store,1/3/2024
548.28,Pharmacy,6/1/2024
329.6,Fast Food,6/28/2024
50.99,Childcare Service,11/25/2023
968.52,Legal Service,11/17/2023
750.52,Consulting Fee,6/17/2024
335.4,Restaurant,4/5/2024
810.86,House Cleaning,9/20/2023
360.67,Utility Bill,2/23/2024
222.74,Childcare Service,9/22/2023
487.46,Courier Service,7/3/2024
556.76,Software Purchase,6/6/2024
97.07,Dentist,3/5/2024
10.15,Lottery Ticket,10/3/2023
743.67,Consulting Fee,5/28/2024
233.81,Consulting Fee,6/9/2024
112.02,Investment,4/11/2024
885.64,Bank Fee,11/11/2023
469.55,Gardening Service,5/5/2024
252.02,Courier Service,9/19/2023
463.01,Airline Ticket,3/24/2024
695.47,Spa,6/7/2024
566.35,Concert Ticket,11/28/2023
917.3,Rent,2/11/2024
132.06,Music Instrument Store,4/2/2024
285.02,Courier Service,8/17/2023
318.35,Taxi,7/27/2024
197.46,Taxi,3/29/2024
58.44,Spotify,3/20/2024
179.67,Video Game Store,12/17/2023
737.8,Gym Membership,9/20/2023
954.58,Parking,9/5/2023
824.8,Consulting Fee,7/6/2024
716.97,Electronics Store,2/20/2024
206.05,Home Improvement,7/7/2024
561.67,Insurance Payment,10/6/2023
251.91,Education Fee,8/16/2023
488.16,Bakery,2/23/2024
268.28,Florist,8/17/2023
488.43,Mortgage,3/5/2024
420.11,Bank Fee,4/23/2024
643.21,Parking,11/27/2023
781.79,Broker Fee,11/22/2023
336.15,Concert Ticket,5/9/2024
779.3,Utility Bill,1/31/2024
524.79,Pet Store,3/27/2024
961.24,Gas Station,1/31/2024
835.75,Bank Fee,7/12/2024
882.84,Netflix,3/23/2024
141.95,Utility Bill,4/4/2024
971.51,Music Instrument Store,2/27/2024
171.83,Gym Membership,11/29/2023
659.18,Vet Visit,3/4/2024
835.6,Music Instrument Store,10/3/2023
981.01,Hardware Purchase,8/4/2023
687.85,Gift Shop,1/20/2024
176.5,Music Instrument Store,1/13/2024
279.02,Airline Ticket,6/29/2024
614.95,Bank Fee,2/25/2024
534.26,Gas Station,11/9/2023
505.95,Concert Ticket,9/7/2023
60.85,Furniture Store,3/9/2024
144.34,Fast Food,12/13/2023
36.54,Gift Shop,7/29/2024
362,Gardening Service,7/10/2024
770.57,Grocery Store,6/9/2024
74.45,Online Course,11/18/2023
224.39,Broker Fee,9/6/2023
672.91,Accounting Service,1/27/2024
94.62,Public Transport,8/7/2023
739.16,Restaurant,3/20/2024
217.81,Restaurant,4/17/2024
110.52,Car Rental,3/25/2024
333.03,Utility Bill,1/15/2024
525.78,Butcher,1/2/2024
806.87,Deli,10/15/2023
955.41,Hair Salon,8/5/2023
586.47,Bakery,7/14/2024
753.6,Book Store,5/5/2024
916.18,Consulting Fee,11/27/2023
6.84,Restaurant,8/20/2023
109,Business Service,12/26/2023
107.69,Investment,12/15/2023
795.27,Deli,1/15/2024
282.71,Courier Service,1/24/2024
843.47,Book Store,4/29/2024
794.7,Airline Ticket,10/28/2023
147.13,Subscription Box,10/19/2023
405.76,Home Improvement,6/16/2024
864.7,Grocery Store,8/26/2023
492.28,Parking,6/20/2024
730.49,Subscription Box,9/4/2023
573.95,Amazon,5/13/2024
261.79,Deli,7/6/2024
493.85,Taxi,5/8/2024
989.34,Gift Shop,11/28/2023
644.81,Vet Visit,3/12/2024
328.05,Movie Theater,8/3/2023
875.47,Broker Fee,1/25/2024
564.95,House Cleaning,11/20/2023
170.77,Video Game Store,5/27/2024
971.62,Property Tax,4/27/2024
324.86,Deli,5/13/2024
603.52,Streaming Service,3/27/2024
891.31,Subscription Box,7/30/2024
423.34,Public Transport,12/7/2023
51.27,Clothing Store,11/15/2023
95.36,Taxi,11/30/2023
322.78,Hardware Purchase,1/25/2024
7.45,Butcher,12/26/2023
450.98,Amazon,9/1/2023
60.09,Public Transport,9/3/2023
824.31,Spotify,5/15/2024
214.32,Online Course,10/1/2023
387.15,Consulting Fee,11/4/2023
263.18,Bakery,8/28/2023
309.8,Parking,7/10/2024
679.28,Music Instrument Store,7/11/2024
453.48,Florist,8/1/2023
106.32,Butcher,2/17/2024
200.87,Car Rental,3/31/2024
666.49,Uber,1/6/2024
864.35,Movie Theater,6/24/2024
191.96,Music Instrument Store,7/18/2024
155.6,Consulting Fee,1/16/2024
44.14,Amazon,12/8/2023
951,Property Tax,10/22/2023
708.57,Charity Donation,3/30/2024
575.6,Gym Membership,5/4/2024
247.26,Butcher,8/20/2023
681.5,Rent,3/11/2024
122.82,Software Purchase,1/9/2024
641.99,Spa,9/23/2023
34.87,Home Improvement,11/9/2023
566.18,Home Improvement,9/6/2023
870.91,Consulting Fee,3/9/2024
628.63,Restaurant,12/4/2023
81.7,Deli,6/2/2024
356.37,Gift Shop,6/26/2024
509.5,Parking,12/3/2023
736.51,Hotel,10/24/2023
121.04,Netflix,1/19/2024
17.47,Video Game Store,5/29/2024
804.04,Streaming Service,8/4/2023
614.78,Florist,12/20/2023
634.8,Freelance Payment,6/5/2024
75.91,Lottery Ticket,5/22/2024
621.67,House Cleaning,9/20/2023
395.28,Consulting Fee,7/12/2024
354.73,Gym Membership,5/14/2024
755.55,Spa,12/2/2023
893.45,Public Transport,11/6/2023
298.43,Spa,7/17/2024
432.64,Charity Donation,4/27/2024
409.37,Grocery Store,4/29/2024
46.11,Courier Service,7/12/2024
965.87,Netflix,12/31/2023
201.71,Vet Visit,12/5/2023
405.06,Gift Shop,2/12/2024
281.47,Parking,8/3/2023
171.81,House Cleaning,10/18/2023
858.37,Insurance Payment,8/22/2023
383.28,Streaming Service,4/16/2024
807.85,Business Service,1/30/2024
853.06,Insurance Payment,9/29/2023
164.29,Legal Service,7/27/2024
831.48,Bank Fee,1/28/2024
367.57,Restaurant,10/29/2023
299.53,Hair Salon,9/17/2023
905.05,Vet Visit,5/12/2024
533.95,Book Store,8/5/2023
901.25,Courier Service,6/28/2024
895.7,Hotel,10/7/2023
490.43,Spotify,11/27/2023
755.34,Property Tax,10/2/2023
29.86,Freelance Payment,3/26/2024
533.5,Doctor's Visit,10/10/2023
233.63,Rent,1/19/2024
169.35,Insurance Payment,4/1/2024
634.01,Dentist,5/6/2024
149.41,Business Service,5/10/2024
646.56,Utility Bill,2/11/2024
453.58,Netflix,3/14/2024
276.11,Taxi,11/10/2023
337.16,Taxi,11/17/2023
684.8,Legal Service,12/3/2023
554.48,Freelance Payment,5/14/2024
682.64,Doctor's Visit,8/1/2024
256.25,Lottery Ticket,7/25/2024
278.17,Legal Service,6/29/2024
921.44,Business Service,3/18/2024
171.58,House Cleaning,7/25/2024
166.45,Insurance Payment,1/26/2024
212.76,Dentist,4/17/2024
655.18,Furniture Store,7/31/2024
775.37,Property Tax,5/8/2024
922.75,Mortgage,11/26/2023
25.42,Hair Salon,3/5/2024
467.66,Rent,4/12/2024
709.03,Courier Service,10/2/2023
870.16,Maintenance Fee,5/1/2024
749.17,Parking,9/17/2023
991.87,Taxi,7/11/2024
759.09,Butcher,5/3/2024
907.41,Courier Service,1/28/2024
67.48,Home Improvement,3/14/2024
667.18,Gardening Service,11/19/2023
610.91,Bank Fee,7/12/2024
127.96,Spa,1/23/2024
920.05,Software Purchase,9/22/2023
818.62,Uber,4/20/2024
528.43,Hardware Purchase,7/30/2024
708.09,Charity Donation,3/30/2024
302.7,Gardening Service,5/8/2024
231.17,Online Course,8/31/2023
546.14,Broker Fee,6/26/2024
873.42,Netflix,10/28/2023
867.75,Airline Ticket,10/23/2023
982.98,Property Tax,8/19/2023
618.58,Charity Donation,10/18/2023
29.9,Business Service,5/21/2024
603.05,Hair Salon,9/1/2023
429.79,Book Store,2/28/2024
636.59,Uber,6/25/2024
630.1,Vet Visit,4/20/2024
242.85,Legal Service,5/24/2024
806.85,Restaurant,1/9/2024
672.99,Grocery Store,9/11/2023
871.09,Doctor's Visit,9/30/2023
777.23,Consulting Fee,5/25/2024
861.81,Gym Membership,10/10/2023
68.18,Furniture Store,8/19/2023
950.48,Spotify,8/7/2023
8.11,Taxi,1/22/2024
237.01,Online Course,4/9/2024
742.86,Consulting Fee,3/6/2024
204.7,Clothing Store,12/8/2023
257.54,Software Purchase,7/19/2024
225.28,Bank Fee,11/8/2023
745.05,Parking,4/29/2024
463.38,Consulting Fee,5/7/2024
362.7,Concert Ticket,10/19/2023
598.98,Parking,7/11/2024
229.45,Electronics Store,7/25/2024
95.09,Freelance Payment,3/15/2024
669.65,Gym Membership,11/27/2023
741.82,Subscription Box,9/22/2023
392.25,Rent,1/5/2024
194.87,Uber,10/4/2023
446.1,Music Instrument Store,12/29/2023
624.76,Car Rental,12/21/2023
453.29,Software Purchase,1/6/2024
963.82,Gift Shop,4/5/2024
202.59,Fitness Equipment,7/17/2024
965.18,Legal Service,2/12/2024
738.17,Coffee Shop,3/20/2024
154.09,Netflix,8/19/2023
116.28,Butcher,10/12/2023
846.01,Clothing Store,6/4/2024
798.57,Mortgage,4/12/2024
61.59,Gym Membership,3/9/2024
869.29,Netflix,6/28/2024
114.52,Rent,1/24/2024
704.22,Business Service,8/30/2023
963.86,Childcare Service,2/27/2024
141.91,Public Transport,2/23/2024
629.66,Video Game Store,10/10/2023
329.67,Fast Food,9/26/2023
600.27,Property Tax,6/15/2024
199.42,Investment,7/27/2024
409.96,Amazon,4/19/2024
187.63,Gift Shop,11/12/2023
453.05,Mortgage,7/12/2024
503.9,Maintenance Fee,4/15/2024
20.3,Music Instrument Store,2/6/2024
730.01,Pharmacy,5/9/2024
794.6,Bakery,6/29/2024
224.05,Gas Station,3/21/2024
191.94,Mortgage,5/28/2024
393.12,Car Rental,9/13/2023
270.83,Education Fee,5/12/2024
61.94,Clothing Store,6/19/2024
543.09,Utility Bill,10/5/2023
951.09,Airline Ticket,11/16/2023
252.42,Book Store,7/17/2024
323.61,Video Game Store,11/2/2023
707.95,Hair Salon,6/30/2024
451.05,Broker Fee,2/27/2024
378.6,Mortgage,7/29/2024
766.89,Home Improvement,2/11/2024
126.09,Fitness Equipment,10/21/2023
328.26,Hair Salon,8/29/2023
520.92,Coffee Shop,2/21/2024
322.18,Hotel,11/13/2023
340.19,Home Improvement,12/26/2023
162.86,Amazon,4/30/2024
975.71,Investment,11/14/2023
994.65,Mortgage,8/3/2023
349.33,Clothing Store,12/29/2023
375.27,Concert Ticket,10/5/2023
323.48,Freelance Payment,7/1/2024
24.79,Furniture Store,5/23/2024
264.79,Gas Station,4/22/2024
310.43,Pharmacy,5/6/2024
151.97,Butcher,4/23/2024
105.46,Public Transport,5/31/2024
814.54,Coffee Shop,9/28/2023
885.89,Doctor's Visit,11/10/2023
995.73,Subscription Box,8/3/2023
977.57,Gift Shop,3/27/2024
531.61,Gift Shop,4/7/2024
444.97,Maintenance Fee,1/30/2024
692.24,Deli,3/18/2024
583.18,Bakery,2/15/2024
7.17,Fast Food,11/10/2023
97.7,Consulting Fee,6/20/2024
51.43,Lottery Ticket,3/19/2024
672.89,Concert Ticket,4/13/2024
277.69,Pet Store,7/27/2024
446.18,Parking,10/22/2023
364.8,Maintenance Fee,10/31/2023
658.48,Freelance Payment,10/6/2023
969.9,Broker Fee,11/2/2023
397.38,Hair Salon,10/29/2023
99.35,Education Fee,7/11/2024
573.08,Hotel,5/18/2024
804.3,Spa,5/2/2024
86.2,Book Store,7/8/2024
617.42,Butcher,11/9/2023
877.86,Taxi,5/25/2024
778.3,Freelance Payment,6/12/2024
688.83,Amazon,7/19/2024
413.33,House Cleaning,5/29/2024
735.52,Coffee Shop,3/18/2024
704.75,Uber,7/3/2024
868.45,Software Purchase,11/28/2023
805.81,Pharmacy,2/7/2024
713.91,Home Improvement,9/29/2023
96.19,Charity Donation,6/5/2024
994.42,Bank Fee,5/4/2024
29.14,Charity Donation,5/14/2024
27.28,Clothing Store,12/18/2023
986.07,Broker Fee,6/16/2024
27.84,Software Purchase,6/12/2024
231.77,Book Store,11/18/2023
104.47,Video Game Store,10/17/2023
103.76,Clothing Store,1/1/2024
460.91,Insurance Payment,7/24/2024
220.59,Deli,10/22/2023
497.31,Car Rental,3/13/2024
102.22,Lottery Ticket,7/8/2024
636.24,Concert Ticket,9/3/2023
954.74,Electronics Store,5/1/2024
760.93,Concert Ticket,1/13/2024
802.95,Property Tax,6/2/2024
694.64,Book Store,2/11/2024
345.21,Spotify,3/13/2024
349.92,Florist,1/20/2024
160.75,Public Transport,1/5/2024
170.39,Hardware Purchase,6/4/2024
517.87,Online Course,5/17/2024
154.93,Car Rental,12/9/2023
307.79,Home Improvement,8/1/2024
48.87,Furniture Store,6/16/2024
781.8,Lottery Ticket,3/7/2024
485.21,Fitness Equipment,12/1/2023
714.78,Streaming Service,7/22/2024
616.66,Airline Ticket,12/12/2023
761.32,Hair Salon,10/10/2023
649.45,Insurance Payment,8/2/2023
