Amount_Spent,Transaction_Type,Date,Gemini_Category
362.49,Electronics Store,2/13/2024,Shopping
21.0,Online Course,6/24/2024,Entertainment
87.51,Netflix,4/26/2024,Entertainment
599.75,Book Store,9/5/2023,Shopping
924.71,Education Fee,12/21/2023,Services
719.1,Online Course,12/4/2023,Entertainment
178.21,Bakery,12/22/2023,Food
598.52,Consulting Fee,12/14/2023,Services
723.53,Maintenance Fee,6/6/2024,Services
472.74,Property Tax,11/9/2023,Home
779.12,Pet Store,12/26/2023,other
550.38,Property Tax,3/28/2024,Home
492.92,Home Improvement,12/8/2023,Home
987.22,Streaming Service,11/7/2023,Entertainment
326.66,Hair Salon,9/11/2023,Personal Care
565.06,Music Instrument Store,3/21/2024,Shopping
564.41,Online Course,7/12/2024,Entertainment
728.96,Netflix,2/16/2024,Entertainment
337.33,Mortgage,5/22/2024,Investments
971.79,Deli,3/29/2024,other
305.32,Deli,8/13/2023,other
871.96,Lottery Ticket,12/17/2023,Other
783.35,Netflix,1/18/2024,Entertainment
556.9,Music Instrument Store,3/2/2024,Shopping
342.72,Subscription Box,10/23/2023,Entertainment
580.58,Rent,3/25/2024,other
893.93,Taxi,1/12/2024,Transportation
296.46,Hardware Purchase,12/7/2023,Shopping
628.44,Butcher,7/28/2024,Food
915.65,Uber,2/25/2024,Transportation
121.48,Utility Bill,6/29/2024,other
848.63,Gift Shop,7/24/2024,Personal Care
971.41,Book Store,6/8/2024,Shopping
935.43,Dentist,4/16/2024,Health
437.38,Childcare Service,1/13/2024,Services
461.59,Florist,11/21/2023,Personal Care
650.7,Florist,12/14/2023,Personal Care
532.34,Property Tax,6/27/2024,Home
789.88,Investment,6/9/2024,Investments
285.03,Movie Theater,4/1/2024,Entertainment
15.68,Insurance Payment,12/16/2023,other
949.61,Public Transport,11/17/2023,Transportation
953.98,Grocery Store,10/31/2023,Food
344.18,Parking,12/7/2023,Transportation
590.2,Spa,10/10/2023,Personal Care
202.96,Uber,8/25/2023,Transportation
113.51,Florist,7/22/2024,Personal Care
171.69,Bank Fee,4/21/2024,Other
214.68,Gym Membership,5/3/2024,other
363.53,Home Improvement,9/4/2023,Home
450.56,Music Instrument Store,7/1/2024,Shopping
173.18,Property Tax,10/27/2023,Home
741.1,Concert Ticket,12/6/2023,Entertainment
902.46,Freelance Payment,3/19/2024,Services
616.66,Butcher,12/10/2023,Food
803.14,Insurance Payment,5/9/2024,other
441.06,Gas Station,1/28/2024,Transportation
68.1,Pet Store,8/6/2023,other
628.07,Grocery Store,4/5/2024,Food
745.88,Deli,7/31/2024,other
981.77,Business Service,7/24/2024,Services
42.12,Uber,2/12/2024,Transportation
27.0,Home Improvement,9/26/2023,Home
323.07,Rent,12/9/2023,other
584.82,Legal Service,2/15/2024,Services
476.14,Doctor's Visit,9/3/2023,Health
622.5,Online Course,1/1/2024,Entertainment
986.06,Electronics Store,2/3/2024,Shopping
968.67,Hotel,6/9/2024,other
8.64,Coffee Shop,8/11/2023,Food
226.92,Dentist,8/13/2023,Health
729.15,Butcher,6/5/2024,Food
545.52,Airline Ticket,1/26/2024,Transportation
506.94,Uber,7/3/2024,Transportation
831.78,House Cleaning,5/24/2024,Home
511.84,Childcare Service,12/23/2023,Services
480.31,Public Transport,10/19/2023,Transportation
802.75,Hotel,12/14/2023,other
275.4,Childcare Service,1/5/2024,Services
754.2,Streaming Service,5/29/2024,Entertainment
141.18,Accounting Service,8/12/2023,Services
734.24,Lottery Ticket,8/27/2023,Other
252.92,Video Game Store,5/7/2024,other
248.98,Florist,7/8/2024,Personal Care
102.62,Vet Visit,4/8/2024,Health
722.89,Clothing Store,5/2/2024,Shopping
129.65,Concert Ticket,5/18/2024,Entertainment
636.91,Amazon,10/18/2023,Shopping
126.24,Movie Theater,3/3/2024,Entertainment
585.63,Maintenance Fee,12/10/2023,Services
92.53,Utility Bill,5/5/2024,other
692.27,Dentist,10/12/2023,Health
284.11,Freelance Payment,4/3/2024,Services
819.72,Mortgage,8/20/2023,Investments
290.01,Gardening Service,6/2/2024,Services
644.04,Pharmacy,1/31/2024,Health
918.63,Taxi,12/8/2023,Transportation
660.79,Lottery Ticket,2/18/2024,Other
341.12,Bank Fee,11/30/2023,Other
525.81,Education Fee,7/16/2024,Services
35.47,Car Rental,4/13/2024,Transportation
352.08,Fast Food,6/19/2024,Food
460.92,Utility Bill,2/13/2024,other
186.91,Home Improvement,12/24/2023,Home
698.43,Pet Store,12/2/2023,other
575.02,Video Game Store,3/12/2024,other
226.77,Pet Store,5/2/2024,other
807.71,Fast Food,6/20/2024,Food
397.3,Furniture Store,9/10/2023,Shopping
289.97,Gas Station,6/27/2024,Transportation
646.33,Amazon,11/25/2023,Shopping
659.31,Hair Salon,2/27/2024,Personal Care
494.3,Lottery Ticket,12/23/2023,Other
720.84,Furniture Store,12/18/2023,Shopping
7.53,Netflix,12/5/2023,Entertainment
939.77,Rent,12/31/2023,other
729.46,Gas Station,1/6/2024,Transportation
261.21,Car Rental,11/23/2023,Transportation
78.24,Book Store,6/12/2024,Shopping
493.15,Florist,4/15/2024,Personal Care
5.6,Investment,9/25/2023,Investments
860.59,Book Store,8/11/2023,Shopping
887.03,Pharmacy,6/10/2024,Health
391.04,Fast Food,7/23/2024,Food
531.24,Gardening Service,11/21/2023,Services
791.41,Hardware Purchase,3/27/2024,Shopping
998.19,Streaming Service,12/26/2023,Entertainment
339.88,Broker Fee,8/17/2023,other
393.8,Florist,6/14/2024,Personal Care
391.82,Broker Fee,6/15/2024,other
615.64,Restaurant,4/19/2024,Food
925.36,Accounting Service,5/29/2024,Services
443.2,Public Transport,12/6/2023,Transportation
606.18,Vet Visit,3/7/2024,Health
879.99,Fitness Equipment,5/8/2024,other
5.75,Music Instrument Store,8/19/2023,Shopping
876.39,Bakery,10/15/2023,Food
569.85,Gardening Service,12/17/2023,Services
515.58,Pharmacy,3/29/2024,Health
523.44,Pharmacy,9/4/2023,Health
982.78,Spotify,1/15/2024,other
313.16,Legal Service,12/4/2023,Services
970.72,Florist,1/26/2024,Personal Care
881.58,Streaming Service,10/8/2023,Entertainment
944.72,Electronics Store,11/4/2023,Shopping
532.93,Doctor's Visit,9/19/2023,Health
951.44,Butcher,11/12/2023,Food
461.01,Vet Visit,11/5/2023,Health
982.21,Hardware Purchase,8/1/2023,Shopping
243.19,Maintenance Fee,12/14/2023,Services
989.39,Investment,9/8/2023,Investments
553.09,Maintenance Fee,7/17/2024,Services
190.56,Software Purchase,12/4/2023,other
782.07,Courier Service,9/23/2023,Transportation
384.02,Butcher,9/27/2023,Food
291.39,Music Instrument Store,3/7/2024,Shopping
200.38,Freelance Payment,11/30/2023,Services
762.21,Clothing Store,10/30/2023,Shopping
386.29,Clothing Store,11/15/2023,Shopping
97.44,Bakery,6/18/2024,Food
165.63,Broker Fee,10/13/2023,other
179.2,Hardware Purchase,10/13/2023,Shopping
70.94,Software Purchase,12/25/2023,other
162.79,Vet Visit,11/28/2023,Health
504.99,Broker Fee,1/16/2024,other
529.26,Childcare Service,3/15/2024,Services
680.12,Hair Salon,6/18/2024,Personal Care
722.71,Fitness Equipment,10/25/2023,other
42.3,Maintenance Fee,5/12/2024,Services
844.74,Movie Theater,12/19/2023,Entertainment
594.77,Broker Fee,4/13/2024,other
333.42,Online Course,4/30/2024,Entertainment
915.31,Fitness Equipment,7/3/2024,other
851.49,Broker Fee,11/13/2023,other
890.88,Consulting Fee,9/21/2023,Services
779.46,Butcher,8/15/2023,Food
990.29,Clothing Store,3/11/2024,Shopping
609.34,Broker Fee,1/25/2024,other
821.74,Electronics Store,7/13/2024,Shopping
252.02,Restaurant,10/20/2023,Food
82.01,Hardware Purchase,11/26/2023,Shopping
164.86,Movie Theater,11/18/2023,Entertainment
369.59,Airline Ticket,4/8/2024,Transportation
652.71,Clothing Store,11/4/2023,Shopping
267.98,Coffee Shop,8/29/2023,Food
260.3,Doctor's Visit,5/22/2024,Health
669.85,Electronics Store,12/8/2023,Shopping
649.05,Fast Food,10/12/2023,Food
943.52,Charity Donation,9/2/2023,Charity
914.72,Fitness Equipment,1/9/2024,other
368.89,Charity Donation,5/26/2024,Charity
188.72,Clothing Store,12/15/2023,Shopping
792.61,Bank Fee,3/25/2024,Other
730.99,Maintenance Fee,8/15/2023,Services
824.47,Accounting Service,9/16/2023,Services
599.01,Vet Visit,12/22/2023,Health
299.31,Home Improvement,6/1/2024,Home
544.81,Music Instrument Store,1/7/2024,Shopping
942.36,Gas Station,9/19/2023,Transportation
58.87,Spa,9/6/2023,Personal Care
117.35,Parking,7/5/2024,Transportation
802.55,Video Game Store,3/16/2024,other
400.84,Business Service,12/12/2023,Services
544.95,Taxi,4/18/2024,Transportation
414.05,Consulting Fee,9/18/2023,Services
10.03,Music Instrument Store,6/14/2024,Shopping
25.73,Property Tax,4/2/2024,Home
230.58,Movie Theater,8/17/2023,Entertainment
535.3,Public Transport,5/19/2024,Transportation
973.07,Furniture Store,9/26/2023,Shopping
120.23,Pharmacy,7/12/2024,Health
467.95,Video Game Store,1/20/2024,other
109.34,Insurance Payment,6/27/2024,other
677.6,Legal Service,3/27/2024,Services
369.6,Butcher,11/9/2023,Food
899.75,Streaming Service,12/4/2023,Entertainment
984.0,Maintenance Fee,3/2/2024,Services
747.89,Florist,4/25/2024,Personal Care
683.16,Uber,3/9/2024,Transportation
30.85,Coffee Shop,1/3/2024,Food
872.95,Coffee Shop,6/16/2024,Food
335.09,Rent,3/6/2024,other
326.65,Business Service,6/2/2024,Services
378.17,Clothing Store,4/27/2024,Shopping
839.98,Bakery,5/12/2024,Food
992.1,Bakery,11/19/2023,Food
181.36,Amazon,6/18/2024,Shopping
313.3,Consulting Fee,3/13/2024,Services
403.79,Bakery,4/30/2024,Food
946.83,Hardware Purchase,9/28/2023,Shopping
973.36,Online Course,6/16/2024,Entertainment
927.53,Airline Ticket,8/1/2024,Transportation
887.18,Amazon,7/15/2024,Shopping
81.04,Florist,7/23/2024,Personal Care
27.12,Online Course,4/4/2024,Entertainment
421.6,Investment,6/11/2024,Investments
229.26,Mortgage,1/13/2024,Investments
485.62,Uber,12/18/2023,Transportation
250.3,Clothing Store,1/2/2024,Shopping
580.09,Video Game Store,3/4/2024,other
504.93,Restaurant,7/20/2024,Food
716.11,Spa,7/1/2024,Personal Care
987.3,Uber,2/1/2024,Transportation
37.93,Spotify,5/29/2024,other
392.47,Music Instrument Store,1/12/2024,Shopping
105.69,Book Store,11/16/2023,Shopping
960.78,Video Game Store,12/30/2023,other
462.27,Music Instrument Store,2/28/2024,Shopping
759.09,Hardware Purchase,11/25/2023,Shopping
162.04,Freelance Payment,8/14/2023,Services
296.45,Movie Theater,7/1/2024,Entertainment
893.34,Taxi,3/20/2024,Transportation
23.5,Movie Theater,3/17/2024,Entertainment
954.51,Streaming Service,11/19/2023,Entertainment
940.13,Clothing Store,7/19/2024,Shopping
709.64,Subscription Box,4/18/2024,Entertainment
644.45,Home Improvement,8/11/2023,Home
875.94,Property Tax,9/29/2023,Home
668.69,Property Tax,8/30/2023,Home
449.63,Amazon,11/27/2023,Shopping
708.49,Mortgage,12/23/2023,Investments
231.75,Accounting Service,5/7/2024,Services
541.75,Parking,9/28/2023,Transportation
604.09,Maintenance Fee,7/25/2024,Services
992.52,Hardware Purchase,12/16/2023,Shopping
334.67,Subscription Box,2/28/2024,Entertainment
916.21,Lottery Ticket,8/20/2023,Other
371.8,Taxi,5/18/2024,Transportation
617.89,Subscription Box,4/20/2024,Entertainment
127.26,Public Transport,10/7/2023,Transportation
242.46,Restaurant,6/18/2024,Food
463.94,Bank Fee,9/24/2023,Other
473.72,Coffee Shop,3/11/2024,Food
170.51,Pet Store,6/21/2024,other
674.09,Software Purchase,7/13/2024,other
479.63,Public Transport,3/20/2024,Transportation
270.41,Accounting Service,7/23/2024,Services
891.35,Grocery Store,10/19/2023,Food
207.77,Maintenance Fee,12/11/2023,Services
94.29,Florist,3/22/2024,Personal Care
159.63,Doctor's Visit,9/24/2023,Health
114.3,Utility Bill,4/5/2024,other
191.78,Parking,5/16/2024,Transportation
297.08,Business Service,4/14/2024,Services
17.49,Butcher,2/13/2024,Food
146.84,Lottery Ticket,5/23/2024,Other
335.52,Gardening Service,6/17/2024,Services
950.63,Consulting Fee,7/25/2024,Services
323.92,Deli,5/12/2024,other
569.97,Software Purchase,9/8/2023,other
903.55,Investment,11/21/2023,Investments
281.02,Spa,5/26/2024,Personal Care
790.67,Butcher,12/24/2023,Food
917.42,Pet Store,4/8/2024,other
84.74,Charity Donation,5/25/2024,Charity
489.55,Movie Theater,10/11/2023,Entertainment
786.53,Fitness Equipment,7/31/2024,other
909.08,Home Improvement,12/19/2023,Home
621.89,Grocery Store,3/8/2024,Food
122.87,Fitness Equipment,3/2/2024,other
990.52,Gift Shop,9/5/2023,Personal Care
616.0,Grocery Store,2/6/2024,Food
991.77,Spotify,5/27/2024,other
756.46,Hotel,12/1/2023,other
517.0,Furniture Store,4/26/2024,Shopping
111.4,Clothing Store,5/17/2024,Shopping
358.45,Hair Salon,7/21/2024,Personal Care
734.9,Pet Store,3/4/2024,other
785.41,Subscription Box,8/17/2023,Entertainment
84.66,Gas Station,10/1/2023,Transportation
220.83,Gardening Service,12/15/2023,Services
808.14,Hair Salon,12/17/2023,Personal Care
395.35,Investment,11/23/2023,Investments
200.89,Insurance Payment,12/21/2023,other
81.41,Spotify,4/15/2024,other
520.64,Vet Visit,2/29/2024,Health
221.18,Butcher,6/13/2024,Food
978.07,Movie Theater,10/17/2023,Entertainment
946.91,Streaming Service,4/21/2024,Entertainment
196.33,Restaurant,12/22/2023,Food
596.52,Hotel,4/15/2024,other
642.21,Grocery Store,3/31/2024,Food
108.89,Pet Store,1/3/2024,other
548.28,Pharmacy,6/1/2024,Health
329.6,Fast Food,6/28/2024,Food
50.99,Childcare Service,11/25/2023,Services
968.52,Legal Service,11/17/2023,Services
750.52,Consulting Fee,6/17/2024,Services
335.4,Restaurant,4/5/2024,Food
810.86,House Cleaning,9/20/2023,Home
360.67,Utility Bill,2/23/2024,other
222.74,Childcare Service,9/22/2023,Services
487.46,Courier Service,7/3/2024,Transportation
556.76,Software Purchase,6/6/2024,other
97.07,Dentist,3/5/2024,Health
10.15,Lottery Ticket,10/3/2023,Other
743.67,Consulting Fee,5/28/2024,Services
233.81,Consulting Fee,6/9/2024,Services
112.02,Investment,4/11/2024,Investments
885.64,Bank Fee,11/11/2023,Other
469.55,Gardening Service,5/5/2024,Services
252.02,Courier Service,9/19/2023,Transportation
463.01,Airline Ticket,3/24/2024,Transportation
695.47,Spa,6/7/2024,Personal Care
566.35,Concert Ticket,11/28/2023,Entertainment
917.3,Rent,2/11/2024,other
132.06,Music Instrument Store,4/2/2024,Shopping
285.02,Courier Service,8/17/2023,Transportation
318.35,Taxi,7/27/2024,Transportation
197.46,Taxi,3/29/2024,Transportation
58.44,Spotify,3/20/2024,other
179.67,Video Game Store,12/17/2023,other
737.8,Gym Membership,9/20/2023,other
954.58,Parking,9/5/2023,Transportation
824.8,Consulting Fee,7/6/2024,Services
716.97,Electronics Store,2/20/2024,Shopping
206.05,Home Improvement,7/7/2024,Home
561.67,Insurance Payment,10/6/2023,other
251.91,Education Fee,8/16/2023,Services
488.16,Bakery,2/23/2024,Food
268.28,Florist,8/17/2023,Personal Care
488.43,Mortgage,3/5/2024,Investments
420.11,Bank Fee,4/23/2024,Other
643.21,Parking,11/27/2023,Transportation
781.79,Broker Fee,11/22/2023,other
336.15,Concert Ticket,5/9/2024,Entertainment
779.3,Utility Bill,1/31/2024,other
524.79,Pet Store,3/27/2024,other
961.24,Gas Station,1/31/2024,Transportation
835.75,Bank Fee,7/12/2024,Other
882.84,Netflix,3/23/2024,Entertainment
141.95,Utility Bill,4/4/2024,other
971.51,Music Instrument Store,2/27/2024,Shopping
171.83,Gym Membership,11/29/2023,other
659.18,Vet Visit,3/4/2024,Health
835.6,Music Instrument Store,10/3/2023,Shopping
981.01,Hardware Purchase,8/4/2023,Shopping
687.85,Gift Shop,1/20/2024,Personal Care
176.5,Music Instrument Store,1/13/2024,Shopping
279.02,Airline Ticket,6/29/2024,Transportation
614.95,Bank Fee,2/25/2024,Other
534.26,Gas Station,11/9/2023,Transportation
505.95,Concert Ticket,9/7/2023,Entertainment
60.85,Furniture Store,3/9/2024,Shopping
144.34,Fast Food,12/13/2023,Food
36.54,Gift Shop,7/29/2024,Personal Care
362.0,Gardening Service,7/10/2024,Services
770.57,Grocery Store,6/9/2024,Food
74.45,Online Course,11/18/2023,Entertainment
224.39,Broker Fee,9/6/2023,other
672.91,Accounting Service,1/27/2024,Services
94.62,Public Transport,8/7/2023,Transportation
739.16,Restaurant,3/20/2024,Food
217.81,Restaurant,4/17/2024,Food
110.52,Car Rental,3/25/2024,Transportation
333.03,Utility Bill,1/15/2024,other
525.78,Butcher,1/2/2024,Food
806.87,Deli,10/15/2023,other
955.41,Hair Salon,8/5/2023,Personal Care
586.47,Bakery,7/14/2024,Food
753.6,Book Store,5/5/2024,Shopping
916.18,Consulting Fee,11/27/2023,Services
6.84,Restaurant,8/20/2023,Food
109.0,Business Service,12/26/2023,Services
107.69,Investment,12/15/2023,Investments
795.27,Deli,1/15/2024,other
282.71,Courier Service,1/24/2024,Transportation
843.47,Book Store,4/29/2024,Shopping
794.7,Airline Ticket,10/28/2023,Transportation
147.13,Subscription Box,10/19/2023,Entertainment
405.76,Home Improvement,6/16/2024,Home
864.7,Grocery Store,8/26/2023,Food
492.28,Parking,6/20/2024,Transportation
730.49,Subscription Box,9/4/2023,Entertainment
573.95,Amazon,5/13/2024,Shopping
261.79,Deli,7/6/2024,other
493.85,Taxi,5/8/2024,Transportation
989.34,Gift Shop,11/28/2023,Personal Care
644.81,Vet Visit,3/12/2024,Health
328.05,Movie Theater,8/3/2023,Entertainment
875.47,Broker Fee,1/25/2024,other
564.95,House Cleaning,11/20/2023,Home
170.77,Video Game Store,5/27/2024,other
971.62,Property Tax,4/27/2024,Home
324.86,Deli,5/13/2024,other
603.52,Streaming Service,3/27/2024,Entertainment
891.31,Subscription Box,7/30/2024,Entertainment
423.34,Public Transport,12/7/2023,Transportation
51.27,Clothing Store,11/15/2023,Shopping
95.36,Taxi,11/30/2023,Transportation
322.78,Hardware Purchase,1/25/2024,Shopping
7.45,Butcher,12/26/2023,Food
450.98,Amazon,9/1/2023,Shopping
60.09,Public Transport,9/3/2023,Transportation
824.31,Spotify,5/15/2024,other
214.32,Online Course,10/1/2023,Entertainment
387.15,Consulting Fee,11/4/2023,Services
263.18,Bakery,8/28/2023,Food
309.8,Parking,7/10/2024,Transportation
679.28,Music Instrument Store,7/11/2024,Shopping
453.48,Florist,8/1/2023,Personal Care
106.32,Butcher,2/17/2024,Food
200.87,Car Rental,3/31/2024,Transportation
666.49,Uber,1/6/2024,Transportation
864.35,Movie Theater,6/24/2024,Entertainment
191.96,Music Instrument Store,7/18/2024,Shopping
155.6,Consulting Fee,1/16/2024,Services
44.14,Amazon,12/8/2023,Shopping
951.0,Property Tax,10/22/2023,Home
708.57,Charity Donation,3/30/2024,Charity
575.6,Gym Membership,5/4/2024,other
247.26,Butcher,8/20/2023,Food
681.5,Rent,3/11/2024,other
122.82,Software Purchase,1/9/2024,other
641.99,Spa,9/23/2023,Personal Care
34.87,Home Improvement,11/9/2023,Home
566.18,Home Improvement,9/6/2023,Home
870.91,Consulting Fee,3/9/2024,Services
628.63,Restaurant,12/4/2023,Food
81.7,Deli,6/2/2024,other
356.37,Gift Shop,6/26/2024,Personal Care
509.5,Parking,12/3/2023,Transportation
736.51,Hotel,10/24/2023,other
121.04,Netflix,1/19/2024,Entertainment
17.47,Video Game Store,5/29/2024,other
804.04,Streaming Service,8/4/2023,Entertainment
614.78,Florist,12/20/2023,Personal Care
634.8,Freelance Payment,6/5/2024,Services
75.91,Lottery Ticket,5/22/2024,Other
621.67,House Cleaning,9/20/2023,Home
395.28,Consulting Fee,7/12/2024,Services
354.73,Gym Membership,5/14/2024,other
755.55,Spa,12/2/2023,Personal Care
893.45,Public Transport,11/6/2023,Transportation
298.43,Spa,7/17/2024,Personal Care
432.64,Charity Donation,4/27/2024,Charity
409.37,Grocery Store,4/29/2024,Food
46.11,Courier Service,7/12/2024,Transportation
965.87,Netflix,12/31/2023,Entertainment
201.71,Vet Visit,12/5/2023,Health
405.06,Gift Shop,2/12/2024,Personal Care
281.47,Parking,8/3/2023,Transportation
171.81,House Cleaning,10/18/2023,Home
858.37,Insurance Payment,8/22/2023,other
383.28,Streaming Service,4/16/2024,Entertainment
807.85,Business Service,1/30/2024,Services
853.06,Insurance Payment,9/29/2023,other
164.29,Legal Service,7/27/2024,Services
831.48,Bank Fee,1/28/2024,Other
367.57,Restaurant,10/29/2023,Food
299.53,Hair Salon,9/17/2023,Personal Care
905.05,Vet Visit,5/12/2024,Health
533.95,Book Store,8/5/2023,Shopping
901.25,Courier Service,6/28/2024,Transportation
895.7,Hotel,10/7/2023,other
490.43,Spotify,11/27/2023,other
755.34,Property Tax,10/2/2023,Home
29.86,Freelance Payment,3/26/2024,Services
533.5,Doctor's Visit,10/10/2023,Health
233.63,Rent,1/19/2024,other
169.35,Insurance Payment,4/1/2024,other
634.01,Dentist,5/6/2024,Health
149.41,Business Service,5/10/2024,Services
646.56,Utility Bill,2/11/2024,other
453.58,Netflix,3/14/2024,Entertainment
276.11,Taxi,11/10/2023,Transportation
337.16,Taxi,11/17/2023,Transportation
684.8,Legal Service,12/3/2023,Services
554.48,Freelance Payment,5/14/2024,Services
682.64,Doctor's Visit,8/1/2024,Health
256.25,Lottery Ticket,7/25/2024,Other
278.17,Legal Service,6/29/2024,Services
921.44,Business Service,3/18/2024,Services
171.58,House Cleaning,7/25/2024,Home
166.45,Insurance Payment,1/26/2024,other
212.76,Dentist,4/17/2024,Health
655.18,Furniture Store,7/31/2024,Shopping
775.37,Property Tax,5/8/2024,Home
922.75,Mortgage,11/26/2023,Investments
25.42,Hair Salon,3/5/2024,Personal Care
467.66,Rent,4/12/2024,other
709.03,Courier Service,10/2/2023,Transportation
870.16,Maintenance Fee,5/1/2024,Services
749.17,Parking,9/17/2023,Transportation
991.87,Taxi,7/11/2024,Transportation
759.09,Butcher,5/3/2024,Food
907.41,Courier Service,1/28/2024,Transportation
67.48,Home Improvement,3/14/2024,Home
667.18,Gardening Service,11/19/2023,Services
610.91,Bank Fee,7/12/2024,Other
127.96,Spa,1/23/2024,Personal Care
920.05,Software Purchase,9/22/2023,other
818.62,Uber,4/20/2024,Transportation
528.43,Hardware Purchase,7/30/2024,Shopping
708.09,Charity Donation,3/30/2024,Charity
302.7,Gardening Service,5/8/2024,Services
231.17,Online Course,8/31/2023,Entertainment
546.14,Broker Fee,6/26/2024,other
873.42,Netflix,10/28/2023,Entertainment
867.75,Airline Ticket,10/23/2023,Transportation
982.98,Property Tax,8/19/2023,Home
618.58,Charity Donation,10/18/2023,Charity
29.9,Business Service,5/21/2024,Services
603.05,Hair Salon,9/1/2023,Personal Care
429.79,Book Store,2/28/2024,Shopping
636.59,Uber,6/25/2024,Transportation
